START_DATE*,END_DATE*,CATEGORY*,MILES*
1/1/2016 21:11,1/1/2016 21:17,Business,5.1
1/2/2016 1:25,1/2/2016 1:37,Business,5.0
1/2/2016 20:25,1/2/2016 20:38,Business,4.8
1/5/2016 17:31,1/5/2016 17:45,Business,4.7
1/6/2016 14:42,1/6/2016 15:49,Business,63.7
1/6/2016 17:15,1/6/2016 17:19,Business,4.3
1/6/2016 17:30,1/6/2016 17:35,Business,7.1
1/7/2016 13:27,1/7/2016 13:33,Business,0.8
1/10/2016 8:05,1/10/2016 8:25,Business,8.3
1/10/2016 12:17,1/10/2016 12:44,Business,16.5
1/10/2016 15:08,1/10/2016 15:51,Business,10.8
1/10/2016 18:18,1/10/2016 18:53,Business,7.5
1/10/2016 19:12,1/10/2016 19:32,Business,6.2
1/11/2016 8:55,1/11/2016 9:21,Business,6.4
1/11/2016 11:56,1/11/2016 12:03,Business,1.6
1/11/2016 13:32,1/11/2016 13:46,Business,1.7
1/11/2016 14:30,1/11/2016 14:43,Business,1.9
1/12/2016 12:33,1/12/2016 12:49,Business,1.9
1/12/2016 12:53,1/12/2016 13:09,Business,4.0
1/12/2016 14:42,1/12/2016 14:56,Business,1.8
1/12/2016 15:13,1/12/2016 15:28,Business,2.4
1/12/2016 15:42,1/12/2016 15:54,Business,2.0
1/12/2016 16:02,1/12/2016 17:00,Business,15.1
1/13/2016 13:54,1/13/2016 14:07,Business,11.2
1/13/2016 15:00,1/13/2016 15:28,Business,11.8
1/14/2016 16:29,1/14/2016 17:05,Business,21.9
1/14/2016 21:39,1/14/2016 21:45,Business,3.9
1/15/2016 0:41,1/15/2016 1:01,Business,8.0
1/15/2016 11:43,1/15/2016 12:03,Business,10.4
1/15/2016 13:26,1/15/2016 13:44,Business,10.4
1/18/2016 14:55,1/18/2016 15:06,Business,4.8
1/18/2016 16:13,1/18/2016 16:24,Business,4.7
1/19/2016 9:09,1/19/2016 9:23,Business,7.2
1/19/2016 10:55,1/19/2016 11:09,Business,7.6
1/20/2016 10:36,1/20/2016 11:11,Business,17.1
1/20/2016 11:48,1/20/2016 12:19,Business,15.1
1/20/2016 13:25,1/20/2016 14:19,Business,40.2
1/21/2016 14:25,1/21/2016 14:29,Business,1.6
1/21/2016 14:43,1/21/2016 14:51,Business,2.4
1/21/2016 16:01,1/21/2016 16:06,Business,1.0
1/26/2016 10:41,1/26/2016 10:50,Business,2.0
1/26/2016 12:33,1/26/2016 12:41,Business,2.3
1/26/2016 16:24,1/26/2016 16:32,Business,1.9
1/26/2016 17:17,1/26/2016 17:22,Business,1.4
1/26/2016 17:27,1/26/2016 17:29,Business,0.5
1/27/2016 9:24,1/27/2016 9:31,Business,1.8
1/27/2016 10:19,1/27/2016 10:48,Business,18.7
1/27/2016 12:34,1/27/2016 12:44,Business,3.4
1/27/2016 14:05,1/27/2016 14:13,Business,2.7
1/27/2016 14:46,1/27/2016 15:08,Business,12.9
1/28/2016 12:28,1/28/2016 13:00,Business,19.0
1/28/2016 15:11,1/28/2016 15:31,Business,14.7
1/28/2016 16:21,1/28/2016 16:51,Business,15.7
1/29/2016 9:31,1/29/2016 9:45,Business,4.6
1/29/2016 10:56,1/29/2016 11:07,Business,5.2
1/29/2016 11:43,1/29/2016 12:03,Business,10.4
1/29/2016 13:24,1/29/2016 13:47,Business,10.1
1/29/2016 18:31,1/29/2016 18:52,Business,5.8
1/29/2016 21:21,1/29/2016 21:40,Business,5.5
1/30/2016 16:21,1/30/2016 16:33,Business,5.7
1/30/2016 18:09,1/30/2016 18:24,Business,5.7
2/1/2016 10:35,2/1/2016 11:15,Business,19.4
2/1/2016 12:10,2/1/2016 12:43,Business,23.3
2/1/2016 12:56,2/1/2016 13:07,Business,3.9
2/2/2016 13:04,2/2/2016 13:23,Business,8.3
2/2/2016 13:51,2/2/2016 14:06,Business,6.0
2/2/2016 14:38,2/2/2016 14:42,Business,1.6
2/4/2016 8:40,2/4/2016 9:01,Business,5.2
2/4/2016 9:37,2/4/2016 10:09,Business,9.7
2/4/2016 10:26,2/4/2016 10:32,Business,1.6
2/4/2016 15:59,2/4/2016 16:03,Business,1.1
2/4/2016 16:35,2/4/2016 16:39,Business,1.6
2/4/2016 18:04,2/4/2016 18:31,Business,9.0
2/4/2016 20:36,2/4/2016 20:55,Business,7.7
2/5/2016 11:47,2/5/2016 12:07,Business,10.4
2/5/2016 13:22,2/5/2016 13:41,Business,10.4
2/6/2016 16:20,2/6/2016 16:53,Business,11.4
2/6/2016 18:57,2/6/2016 19:21,Business,9.0
2/6/2016 19:28,2/6/2016 19:37,Business,3.2
2/7/2016 16:49,2/7/2016 17:01,Business,5.6
2/7/2016 18:03,2/7/2016 18:17,Business,5.7
2/7/2016 18:39,2/7/2016 18:53,Business,6.1
2/7/2016 20:22,2/7/2016 20:40,Business,6.1
2/8/2016 12:57,2/8/2016 13:08,Business,4.3
2/8/2016 14:00,2/8/2016 14:10,Business,2.7
2/9/2016 10:54,2/9/2016 11:07,Personal,5.3
2/9/2016 11:43,2/9/2016 11:50,Personal,3.0
2/9/2016 13:36,2/9/2016 13:52,Personal,5.1
2/9/2016 13:58,2/9/2016 14:02,Personal,1.5
2/9/2016 18:55,2/9/2016 19:11,Business,6.1
2/9/2016 20:24,2/9/2016 20:40,Business,6.1
2/11/2016 16:28,2/11/2016 17:10,Business,17.3
2/11/2016 17:49,2/11/2016 18:10,Business,5.7
2/11/2016 18:24,2/11/2016 18:46,Business,13.5
2/11/2016 20:36,2/11/2016 20:51,Business,6.1
2/12/2016 8:21,2/12/2016 8:42,Business,8.5
2/12/2016 10:45,2/12/2016 10:52,Business,2.6
2/12/2016 11:14,2/12/2016 11:35,Business,17.0
2/12/2016 13:02,2/12/2016 13:36,Business,18.0
2/12/2016 14:49,2/12/2016 15:06,Business,8.4
2/12/2016 15:33,2/12/2016 16:06,Business,11.5
2/13/2016 14:21,2/13/2016 14:41,Business,8.9
2/13/2016 23:45,2/14/2016 0:01,Personal,2.7
2/14/2016 0:50,2/14/2016 1:00,Personal,1.8
2/14/2016 14:07,2/14/2016 14:40,Business,8.1
2/14/2016 14:46,2/14/2016 15:03,Business,2.0
2/14/2016 16:35,2/14/2016 17:02,Business,13.0
2/14/2016 17:06,2/14/2016 17:29,Business,13.9
2/16/2016 3:21,2/16/2016 4:13,Business,43.7
2/16/2016 8:29,2/16/2016 9:34,Business,14.1
2/16/2016 10:31,2/16/2016 10:41,Business,2.6
2/16/2016 11:32,2/16/2016 12:02,Business,4.5
2/16/2016 12:39,2/16/2016 12:42,Business,1.7
2/16/2016 13:43,2/16/2016 13:55,Business,1.8
2/16/2016 16:34,2/16/2016 17:10,Business,6.0
2/16/2016 17:17,2/16/2016 17:26,Business,1.1
2/16/2016 17:40,2/16/2016 17:44,Business,3.6
2/17/2016 13:18,2/17/2016 14:04,Business,14.7
2/17/2016 15:17,2/17/2016 15:22,Business,1.7
2/17/2016 15:33,2/17/2016 16:17,Business,21.4
2/17/2016 16:38,2/17/2016 16:43,Business,0.5
2/18/2016 8:19,2/18/2016 8:27,Business,23.5
2/18/2016 14:03,2/18/2016 14:45,Business,12.7
2/18/2016 15:16,2/18/2016 15:31,Business,6.0
2/18/2016 18:44,2/18/2016 18:58,Business,5.2
2/18/2016 19:27,2/18/2016 20:08,Business,10.0
2/19/2016 9:02,2/19/2016 9:14,Business,18.3
2/19/2016 9:21,2/19/2016 9:51,Business,11.2
2/19/2016 10:21,2/19/2016 10:48,Business,7.6
2/19/2016 11:20,2/19/2016 11:26,Personal,1.5
2/19/2016 11:45,2/19/2016 11:50,Personal,1.0
2/19/2016 12:09,2/19/2016 12:27,Business,7.3
2/19/2016 16:26,2/19/2016 16:45,Business,3.5
2/19/2016 17:09,2/19/2016 17:20,Business,4.2
2/19/2016 20:08,2/19/2016 20:30,Personal,13.6
2/19/2016 20:34,2/19/2016 20:51,Personal,2.5
2/20/2016 7:59,2/20/2016 8:32,Personal,14.4
2/20/2016 10:48,2/20/2016 10:56,Personal,3.0
2/20/2016 11:45,2/20/2016 11:53,Personal,1.5
2/20/2016 12:41,2/20/2016 13:17,Business,18.4
2/20/2016 14:50,2/20/2016 15:54,Business,23.1
2/20/2016 16:59,2/20/2016 17:54,Personal,16.5
2/20/2016 18:00,2/20/2016 18:03,Business,3.2
2/20/2016 19:28,2/20/2016 19:49,Business,7.7
2/21/2016 9:07,2/21/2016 9:46,Business,14.5
2/21/2016 11:39,2/21/2016 11:43,Business,2.4
2/21/2016 11:47,2/21/2016 12:01,Business,4.6
2/21/2016 12:13,2/21/2016 12:35,Business,8.8
2/21/2016 12:51,2/21/2016 13:12,Business,8.3
2/21/2016 13:33,2/21/2016 14:30,Business,22.7
2/21/2016 14:36,2/21/2016 15:03,Business,13.0
2/21/2016 15:14,2/21/2016 15:31,Business,8.1
2/21/2016 15:36,2/21/2016 15:41,Business,2.2
2/21/2016 16:04,2/21/2016 16:32,Business,9.7
2/21/2016 23:15,2/21/2016 23:52,Business,20.0
2/22/2016 21:54,2/22/2016 22:09,Business,8.1
2/24/2016 14:30,2/24/2016 14:35,Business,1.5
2/24/2016 15:19,2/24/2016 15:25,Business,1.7
2/25/2016 16:27,2/25/2016 16:35,Business,3.1
2/25/2016 16:47,2/25/2016 17:02,Business,3.2
2/25/2016 17:16,2/25/2016 17:36,Business,6.0
2/25/2016 18:22,2/25/2016 18:39,Business,5.8
2/26/2016 9:06,2/26/2016 9:29,Business,6.3
2/26/2016 11:05,2/26/2016 11:11,Personal,1.7
2/26/2016 11:35,2/26/2016 11:59,Business,10.6
2/26/2016 13:01,2/26/2016 13:24,Business,9.9
2/26/2016 14:38,2/26/2016 14:46,Personal,1.9
2/26/2016 15:00,2/26/2016 15:18,Personal,4.2
2/26/2016 17:01,2/26/2016 17:12,Personal,2.0
2/28/2016 5:22,2/28/2016 5:38,Business,7.7
2/28/2016 9:26,2/28/2016 9:42,Business,6.8
2/29/2016 11:07,2/29/2016 11:14,Personal,2.1
2/29/2016 11:30,2/29/2016 11:40,Business,3.8
2/29/2016 12:36,2/29/2016 12:48,Business,5.6
2/29/2016 14:55,2/29/2016 15:03,Business,2.6
2/29/2016 16:40,2/29/2016 17:00,Business,6.6
3/1/2016 18:47,3/1/2016 19:10,Business,8.0
3/1/2016 21:27,3/1/2016 21:45,Business,8.0
3/3/2016 9:45,3/3/2016 9:52,Personal,2.2
3/3/2016 11:04,3/3/2016 11:10,Business,2.3
3/3/2016 14:44,3/3/2016 14:58,Business,5.2
3/3/2016 15:27,3/3/2016 15:48,Business,7.6
3/3/2016 16:02,3/3/2016 16:42,Business,17.3
3/4/2016 7:47,3/4/2016 8:06,Business,9.9
3/4/2016 9:46,3/4/2016 10:03,Business,9.9
3/4/2016 11:46,3/4/2016 12:06,Business,10.4
3/4/2016 13:03,3/4/2016 13:25,Business,10.9
3/4/2016 13:40,3/4/2016 14:09,Business,15.7
3/4/2016 15:56,3/4/2016 16:08,Business,4.9
3/4/2016 16:16,3/4/2016 16:22,Business,0.8
3/4/2016 16:43,3/4/2016 17:12,Business,13.5
3/4/2016 19:02,3/4/2016 19:08,Business,1.9
3/4/2016 19:16,3/4/2016 19:25,Business,2.0
3/5/2016 11:44,3/5/2016 11:59,Business,6.5
3/5/2016 12:57,3/5/2016 13:12,Personal,4.2
3/5/2016 14:08,3/5/2016 14:18,Personal,3.5
3/5/2016 14:39,3/5/2016 15:01,Business,7.8
3/5/2016 16:52,3/5/2016 17:13,Business,7.8
3/5/2016 17:23,3/5/2016 17:34,Business,3.9
3/7/2016 9:10,3/7/2016 9:20,Business,2.8
3/7/2016 9:23,3/7/2016 9:47,Business,12.4
3/7/2016 12:10,3/7/2016 12:26,Business,5.9
3/7/2016 13:57,3/7/2016 14:18,Business,9.4
3/7/2016 15:19,3/7/2016 15:45,Business,11.9
3/8/2016 14:38,3/8/2016 14:55,Business,7.2
3/8/2016 15:35,3/8/2016 16:00,Business,7.6
3/8/2016 16:13,3/8/2016 16:25,Personal,1.6
3/10/2016 3:36,3/10/2016 3:53,Business,8.4
3/10/2016 10:08,3/10/2016 10:37,Business,12.8
3/10/2016 14:39,3/10/2016 14:55,Business,2.3
3/10/2016 16:18,3/10/2016 16:28,Business,1.6
3/11/2016 9:47,3/11/2016 9:59,Business,2.0
3/11/2016 10:29,3/11/2016 10:36,Business,0.8
3/11/2016 11:57,3/11/2016 12:04,Business,1.2
3/11/2016 13:43,3/11/2016 13:51,Business,1.0
3/11/2016 19:21,3/11/2016 19:35,Business,2.1
3/12/2016 9:13,3/12/2016 9:22,Business,2.2
3/12/2016 18:27,3/12/2016 18:37,Personal,1.9
3/13/2016 9:07,3/13/2016 9:37,Business,5.7
3/13/2016 18:23,3/13/2016 18:43,Business,8.4
3/13/2016 20:07,3/13/2016 20:28,Business,6.2
3/13/2016 20:39,3/13/2016 20:58,Business,10.5
3/13/2016 21:11,3/13/2016 21:23,Business,7.2
3/13/2016 22:19,3/13/2016 22:39,Business,12.5
3/14/2016 8:34,3/14/2016 8:49,Business,2.0
3/14/2016 18:39,3/14/2016 18:55,Business,2.7
3/15/2016 8:45,3/15/2016 8:57,Business,2.0
3/15/2016 20:48,3/15/2016 21:01,Business,2.8
3/16/2016 11:34,3/16/2016 11:45,Business,1.7
3/16/2016 14:44,3/16/2016 14:55,Business,2.0
3/16/2016 18:43,3/16/2016 18:56,Business,2.1
3/17/2016 0:33,3/17/2016 0:44,Personal,1.7
3/17/2016 12:52,3/17/2016 15:11,Business,136.0
3/17/2016 15:16,3/17/2016 15:58,Business,30.2
3/17/2016 17:20,3/17/2016 18:02,Business,15.5
3/17/2016 18:47,3/17/2016 19:09,Personal,4.9
3/17/2016 20:57,3/17/2016 21:28,Personal,12.6
3/17/2016 21:48,3/17/2016 22:04,Personal,10.4
3/18/2016 7:15,3/18/2016 7:21,Business,1.1
3/18/2016 8:35,3/18/2016 8:43,Business,1.1
3/18/2016 18:24,3/18/2016 19:08,Business,13.2
3/18/2016 19:23,3/18/2016 19:29,Business,1.0
3/18/2016 21:01,3/18/2016 21:15,Business,9.2
3/19/2016 9:10,3/19/2016 9:25,Business,9.4
3/19/2016 12:50,3/19/2016 13:13,Business,12.0
3/19/2016 14:01,3/19/2016 14:57,Business,35.1
3/19/2016 15:34,3/19/2016 16:38,Business,36.5
3/19/2016 17:17,3/19/2016 17:32,Business,3.1
3/19/2016 17:37,3/19/2016 17:47,Business,2.1
3/19/2016 17:52,3/19/2016 18:00,Business,1.2
3/19/2016 18:53,3/19/2016 19:29,Business,7.5
3/19/2016 19:33,3/19/2016 20:39,Business,57.0
3/20/2016 7:37,3/20/2016 7:48,Business,5.9
3/20/2016 11:42,3/20/2016 11:56,Business,6.2
3/20/2016 17:08,3/20/2016 17:34,Business,10.4
3/20/2016 18:34,3/20/2016 18:40,Personal,1.2
3/20/2016 18:45,3/20/2016 19:06,Business,9.6
3/21/2016 10:21,3/21/2016 10:26,Personal,1.0
3/21/2016 16:05,3/21/2016 16:13,Business,0.9
3/21/2016 18:59,3/21/2016 19:15,Business,8.8
3/21/2016 20:18,3/21/2016 20:55,Business,25.6
3/22/2016 6:17,3/22/2016 6:43,Business,23.0
3/22/2016 12:06,3/22/2016 12:24,Personal,8.1
3/22/2016 19:12,3/22/2016 19:25,Personal,1.4
3/23/2016 14:37,3/23/2016 14:42,Personal,1.7
3/23/2016 14:53,3/23/2016 14:59,Personal,1.6
3/24/2016 19:47,3/24/2016 19:54,Personal,2.0
3/24/2016 20:34,3/24/2016 20:40,Business,2.2
3/25/2016 13:24,3/25/2016 16:22,Business,144.0
3/25/2016 16:52,3/25/2016 22:22,Business,310.3
3/25/2016 22:54,3/26/2016 1:39,Business,201.0
3/26/2016 14:05,3/26/2016 14:29,Personal,6.7
3/26/2016 15:19,3/26/2016 15:49,Personal,8.8
3/26/2016 16:26,3/26/2016 16:30,Personal,1.2
3/27/2016 0:31,3/27/2016 0:40,Business,2.1
3/27/2016 1:11,3/27/2016 1:23,Business,6.6
3/27/2016 15:31,3/27/2016 15:56,Business,6.1
3/27/2016 21:26,3/27/2016 21:41,Personal,6.9
3/27/2016 23:04,3/27/2016 23:18,Personal,7.3
3/28/2016 12:29,3/28/2016 12:42,Personal,3.6
3/28/2016 19:30,3/28/2016 20:23,Personal,27.2
3/28/2016 22:55,3/28/2016 23:26,Personal,25.7
3/29/2016 15:27,3/29/2016 16:11,Personal,13.6
3/29/2016 18:20,3/29/2016 18:39,Personal,6.2
3/29/2016 20:29,3/29/2016 20:44,Personal,6.0
3/29/2016 23:04,3/29/2016 23:21,Personal,13.8
3/30/2016 22:05,3/30/2016 22:55,Business,28.8
3/31/2016 12:47,3/31/2016 13:22,Business,16.1
3/31/2016 14:37,3/31/2016 15:09,Business,16.4
4/1/2016 13:43,4/1/2016 14:01,Business,11.0
4/1/2016 14:36,4/1/2016 15:24,Business,15.5
4/1/2016 16:01,4/1/2016 16:49,Business,20.3
4/1/2016 16:52,4/1/2016 16:57,Personal,0.7
4/2/2016 8:48,4/2/2016 9:04,Personal,5.5
4/2/2016 11:01,4/2/2016 11:16,Personal,5.1
4/2/2016 12:21,4/2/2016 14:47,Business,77.3
4/2/2016 16:57,4/2/2016 18:09,Business,80.5
4/2/2016 19:38,4/2/2016 22:36,Business,174.2
4/2/2016 23:11,4/3/2016 1:34,Business,144.0
4/3/2016 2:00,4/3/2016 4:16,Business,159.3
4/5/2016 21:39,4/5/2016 21:55,Business,7.9
4/6/2016 0:19,4/6/2016 0:39,Business,8.0
4/7/2016 18:20,4/7/2016 18:39,Business,6.1
4/7/2016 19:45,4/7/2016 20:00,Business,6.1
4/8/2016 12:30,4/8/2016 12:48,Business,10.5
4/8/2016 13:34,4/8/2016 13:51,Business,8.7
4/8/2016 13:55,4/8/2016 14:03,Business,1.8
4/8/2016 14:43,4/8/2016 15:20,Business,19.1
4/8/2016 16:05,4/8/2016 16:47,Business,18.6
4/12/2016 9:15,4/12/2016 9:26,Business,2.8
4/12/2016 9:34,4/12/2016 9:53,Business,8.9
4/12/2016 10:58,4/12/2016 11:18,Business,7.5
4/12/2016 12:22,4/12/2016 12:44,Business,15.9
4/12/2016 13:42,4/12/2016 14:01,Business,6.5
4/14/2016 7:29,4/14/2016 8:09,Business,15.3
4/14/2016 16:00,4/14/2016 16:43,Business,13.7
4/15/2016 11:36,4/15/2016 12:07,Business,11.9
4/15/2016 12:29,4/15/2016 12:32,Business,1.4
4/15/2016 14:31,4/15/2016 15:01,Business,15.2
4/16/2016 12:59,4/16/2016 13:17,Business,6.0
4/16/2016 15:10,4/16/2016 15:26,Business,6.1
4/19/2016 17:44,4/19/2016 18:08,Business,8.2
4/19/2016 19:57,4/19/2016 20:19,Business,8.0
4/22/2016 8:25,4/22/2016 9:04,Business,13.6
4/22/2016 10:10,4/22/2016 10:40,Business,22.5
4/22/2016 12:08,4/22/2016 12:28,Business,10.4
4/22/2016 13:02,4/22/2016 13:26,Business,10.0
4/23/2016 17:03,4/23/2016 17:16,Business,6.0
4/23/2016 18:49,4/23/2016 19:05,Business,6.5
4/24/2016 19:07,4/24/2016 19:16,Business,3.1
4/24/2016 19:46,4/24/2016 19:52,Business,1.9
4/24/2016 21:41,4/24/2016 21:50,Business,4.2
4/27/2016 13:30,4/27/2016 13:40,Business,4.9
4/27/2016 14:13,4/27/2016 14:25,Business,4.8
4/28/2016 12:09,4/28/2016 12:34,Business,12.4
4/28/2016 13:30,4/28/2016 13:49,Business,32.8
4/28/2016 22:10,4/28/2016 22:28,Business,5.5
4/29/2016 11:44,4/29/2016 12:01,Business,9.9
4/29/2016 13:13,4/29/2016 13:34,Business,10.0
4/29/2016 18:46,4/29/2016 19:18,Business,14.2
4/29/2016 22:44,4/29/2016 23:19,Business,18.2
4/30/2016 18:42,4/30/2016 18:57,Business,7.7
4/30/2016 22:16,4/30/2016 22:34,Business,6.8
5/1/2016 13:45,5/1/2016 13:53,Business,2.1
5/1/2016 14:26,5/1/2016 14:31,Business,2.3
5/1/2016 17:33,5/1/2016 17:45,Business,6.2
5/1/2016 17:54,5/1/2016 18:10,Business,7.5
5/1/2016 22:38,5/1/2016 22:49,Business,3.1
5/2/2016 14:14,5/2/2016 14:21,Business,2.2
5/2/2016 15:37,5/2/2016 15:48,Business,3.9
5/3/2016 22:20,5/3/2016 22:28,Business,2.5
5/4/2016 15:16,5/4/2016 15:37,Business,8.7
5/4/2016 20:55,5/4/2016 21:14,Business,14.5
5/4/2016 21:30,5/4/2016 21:36,Business,4.5
5/4/2016 22:19,5/4/2016 22:27,Business,5.0
5/5/2016 21:24,5/5/2016 21:36,Business,14.2
5/5/2016 22:34,5/5/2016 22:40,Business,2.9
5/5/2016 23:55,5/6/2016 0:08,Business,12.9
5/6/2016 5:47,5/6/2016 6:02,Business,14.4
5/6/2016 16:45,5/6/2016 16:59,Business,17.0
5/6/2016 17:18,5/6/2016 17:44,Business,7.9
5/9/2016 6:08,5/9/2016 6:25,Business,8.4
5/9/2016 14:39,5/9/2016 15:06,Business,20.5
5/9/2016 17:58,5/9/2016 18:26,Business,9.8
5/9/2016 19:35,5/9/2016 19:59,Business,17.6
5/10/2016 9:03,5/10/2016 9:20,Business,9.3
5/10/2016 17:19,5/10/2016 17:31,Business,7.9
5/11/2016 8:35,5/11/2016 9:12,Business,25.6
5/11/2016 21:47,5/11/2016 22:04,Business,8.1
5/14/2016 18:35,5/14/2016 18:39,Business,3.1
5/14/2016 23:01,5/14/2016 23:05,Business,3.1
5/17/2016 13:15,5/17/2016 13:23,Business,2.8
5/17/2016 13:56,5/17/2016 14:08,Business,2.7
5/17/2016 14:34,5/17/2016 14:40,Business,1.9
5/18/2016 9:11,5/18/2016 9:41,Business,8.4
5/18/2016 13:00,5/18/2016 13:02,Business,7.6
5/19/2016 14:37,5/19/2016 15:01,Business,2.9
5/20/2016 10:56,5/20/2016 11:07,Business,11.2
5/20/2016 15:43,5/20/2016 16:12,Business,8.2
5/22/2016 15:39,5/22/2016 15:46,Business,3.0
5/22/2016 18:46,5/22/2016 18:53,Business,2.5
5/23/2016 20:19,5/23/2016 20:27,Business,3.6
5/23/2016 21:09,5/23/2016 21:21,Business,3.6
5/27/2016 20:26,5/27/2016 20:30,Business,4.5
5/27/2016 20:47,5/27/2016 20:53,Business,1.2
5/27/2016 22:11,5/27/2016 22:14,Business,1.7
5/28/2016 0:15,5/28/2016 0:21,Business,4.7
5/28/2016 12:52,5/28/2016 13:06,Business,6.1
5/28/2016 14:35,5/28/2016 15:04,Business,11.3
5/31/2016 13:54,5/31/2016 14:41,Business,14.9
